nom_hatvp;nom_developpe;accronyme;variation;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LIMOGES ET DE LA HAUTE-VIENNE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LIMOGES ET DE LA HAUTE-VIENNE;CCI LIMOGES ET HAUTE-VIENNE;CCI de Limoges et de la Haute-Vienne;
FEDERATION FRANCAISE DES PRODUCTEURS D'OLEAGINEUX ET DE PROTEAGINEUX;FEDERATION FRANCAISE DES PRODUCTEURS D'OLEAGINEUX ET DE PROTEAGINEUX;FOP;;
VIIV HEALTHCARE SAS;VIIV HEALTHCARE SAS;;ViiV Healthcare;
PAYPAL EUROPE ET CIE SCA;PAYPAL EUROPE ET CIE SCA;;PayPal;
FEDERATION DEPARTEMENTALE DES ENTREPRENEURS ET ARTISANS DU BATIMENT ET DES TRAVAUX PUBLICS DES HAUTES ALPES;FEDERATION DEPARTEMENTALE DES ENTREPRENEURS ET ARTISANS DU BATIMENT ET DES TRAVAUX PUBLICS DES HAUTES ALPES;FFB HAUTES ALPES 05;;
BEDARD YANN CHARLES ANTOINE;BEDARD YANN CHARLES ANTOINE;;;
CENTRE DEP JEUNES AGRICULT AIN;CENTRE DEPARTEMENTAL JEUNES AGRICULT AIN;;;
UNION DES INDUSTRIELS POUR LA VALORISATION DES EXTRAITS DE CHANVRE;UNION DES INDUSTRIELS POUR LA VALORISATION DES EXTRAITS DE CHANVRE;UIVEC;;
JF TALLEC CONCEPTS;JF TALLEC CONCEPTS;;;
KERING;KERING;;;
MAZAGAN;MAZAGAN;;;
AGENCE FRANCAISE DE DEVELOPPEMENT;AGENCE FRANCAISE DE DEVELOPPEMENT;AFD;;
LIGUE NAT FRANCAISE CONTRE LE CANCER;LIGUE NATIONALE FRANCAISE CONTRE LE CANCER;;Ligue contre le cancer;
ASSOCIATION DE L'INDUSTRIE AUDIOVISUELLE INDEPENDANTE;ASSOCIATION DE L'INDUSTRIE AUDIOVISUELLE INDEPENDANTE;ACID;;
ACTEURS DE LA CONSTRUCTION INDUSTRIALISEE ET MODULAIRE;ACTEURS DE LA CONSTRUCTION INDUSTRIALISEE ET MODULAIRE;ACIM;;
PIERRE ET VACANCES;PIERRE ET VACANCES;;;
PUBLIC HEALTH EXPERTISE;PUBLIC HEALTH EXPERTISE;PHE;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION ILE-DE-FRANCE;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION ILE-DE-FRANCE;CMA IDF;;
ASSOCIATION NATIONALE DE LA RECHERCHE ET DE LA TECHNOLOGIE - ANRT -;ASSOCIATION NATIONALE DE LA RECHERCHE ET DE LA TECHNOLOGIE;ANRT;;
CONFED NAT ASSO FAMILIAL CATHO;Confédération nationale des associations familiales catholiques;CNAFC;;
ACPB;ACPB;;;
ASSOCIATION DE LUTTE CONTRE LA PIRATERIE AUDIOVISUELLE;ASSOCIATION DE LUTTE CONTRE LA PIRATERIE AUDIOVISUELLE;ALPA;;
A P CONSULTE;AP CONSULTE;;;
WPD SOLAR FRANCE;WPD SOLAR FRANCE;WPD;;
FEDERATION NATIONALE DE L'ARTISANAT AUTOMOBILE DU TARN;FEDERATION NATIONALE DE L'ARTISANAT AUTOMOBILE DU TARN;FNAA 81;;
ORANO SA;ORANO SA;;Orano;
LES PETITS FRERES DES PAUVRES;LES PETITS FRERES DES PAUVRES;;;
CHEFCAB;CHEFCAB;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION AUVERGNE-RHONE-ALPES;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION AUVERGNE-RHONE-ALPES;CMA Auvergne-Rhône-Alpes;;
VINCI CONSTRUCTION;VINCI CONSTRUCTION;;;
MUTUELLE ASSURANCE INSTITUTEUR FRANCE;MUTUELLE ASSURANCE INSTITUTEUR FRANCE;MAIF;;
CONSEIL NATIONAL DES CHAMBRES REGIONALES DE L ECONOMIE SOCIALE;CONSEIL NATIONAL DES CHAMBRES REGIONALES DE L ECONOMIE SOCIALE;CNCRES;;
VALDELIA;VALDELIA;;;
CENTRE FRANCAIS DES FONDATIONS;CENTRE FRANCAIS DES FONDATIONS;French Center Funds and Foundations;;
CTR DEPARTEMENT JEUNES AGRICULTEURS;centre departement jeunes agriculteurs;;;
SYNDICAT DES EAUX DE SOURCES ET DES EAUX MINERALES NATURELLES;SYNDICAT DES EAUX DE SOURCES ET DES EAUX MINERALES NATURELLES;SESEMN;;
LABRADOR LOUIS;LABRADOR LOUIS;;;
RECLAIM FINANCE;Reclaim Finance ONG;;Reclaim Finance;
COCKERILL MECHANICAL INDUSTRIES;COCKERILL MECHANICAL INDUSTRIES;CMI;;
COLIBRI SAS;COLIBRI SAS;;;
ASSOCIATION FRANCAISE DES PRODUCTEURS DE CANNABINOIDES;ASSOCIATION FRANCAISE DES PRODUCTEURS DE CANNABINOIDES;;;
SEA SHEPHERD FRANCE;SEA SHEPHERD FRANCE;;Sea Shepherd;
LJ CORPORATE;LJ CORPORATE;;;
MEET IN CLASS;MEET IN CLASS;;;
ASS NALE DES  ETUDIANTS SAGES FEMMES;ASSOCIATION DES ETUDIANTS SAGES FEMMES;;;
FEDERATION HOSPITALIERE FRANCE;FEDERATION HOSPITALIERE FRANCE;FHF;;
FASQUELLE DANIEL;FASQUELLE DANIEL;;;
PHOTOSOL;Photosol SAS;PHOTOSOL;;
GROUPEMENT INDUSTRIELS PLASTURGIE OUEST;GROUPEMENT INDUSTRIELS PLASTURGIE OUEST;;;
FEDERATION NATIONALE DES PRODUCTEURS DE L'HORTICULTURE ET DES PEPINIERES;FEDERATION NATIONALE DES PRODUCTEURS DE L'HORTICULTURE ET DES PEPINIERES;FNPHP;;
CHAMBRE DE LA FEDERATION NATIONALE DE L'IMMOBILIER DU GRAND PARIS;CHAMBRE DE LA FEDERATION NATIONALE DE L'IMMOBILIER DU GRAND PARIS;FNAIM du Grand Paris;;
ASSOCIATION FRANCAISE DE COMMERCIALISATION ET DE MELANGE D'ENGRAIS;ASSOCIATION FRANCAISE DE COMMERCIALISATION ET DE MELANGE D'ENGRAIS;AFCOME;;
LOGOS CONSULTANT;LOGOS CONSULTANT;;;
CONFED PROD INDUSTR ROQUEFORT;CONFEDEDERATION de la PRODUCTION INDUSTRIEL DE ROQUEFORT;;;
SYNDICAT DES PHARMACIENS DE LOIRE ATLANTIQUE 44;SYNDICAT DES PHARMACIENS DE LOIRE ATLANTIQUE 44;USPO PAYS DE LA LOIRE;;
CH SYND BIJOU ORFEVR FANTAIS;CH SYNDicat des BIJOUtiers ORFEVRères et FANTAIStes;;;
STRIPE FRANCE;STRIPE FRANCE;;;
JEUNES AGRICULTEURS DES BOUCHES DU RHONE 13;JEUNES AGRICULTEURS DES BOUCHES DU RHONE 13;JA13;;
JUUL LABS FRANCE;JUUL LABS FRANCE SAS;;JUUL LABS;
CONSEIL REGIONAL DE L'ORDRE DES ARCHITECTES DU GRAND EST;CONSEIL REGIONAL DE L'ORDRE DES ARCHITECTES DU GRAND EST;CROA;;
CONFEDERATION FRANCAISE DE LA BOUCHERIE - BOUCHERIE CHARCUTERIE - TRAITEURS;CONFEDERATION FRANCAISE DE LA BOUCHERIE - BOUCHERIE CHARCUTERIE - TRAITEURS;CFBCT;;
H.I.C FRANCE;H.I.C FRANCE;;;
BERGER LEVRAULT;BERGER LEVRAULT;;;
COLLECTIF HANDICAPS;COLLECTIF HANDICAPS;;;
CONFÉDÉRATION NATIONALE DE L'ARTISANAT DES MÉTIERS DE SERVICE ET DE FABRICATION DU CENTRE;CONFÉDÉRATION NATIONALE DE L'ARTISANAT DES MÉTIERS DE SERVICE ET DE FABRICATION DU CENTRE;CNAMS CENTRE;;
FAMILLES RURALES FEDERATION NATIONALE;FAMILLES RURALES FEDERATION NATIONALE;;Familles Rurales;
Audible GmbH;Audible GmbH;;Audible;
CONSEIL REGIONAL DE L'ORDRE DES ARCHITECTES DE NORMANDIE;CONSEIL REGIONAL DE L'ORDRE DES ARCHITECTES DE NORMANDIE;;;
IPG DXTRA (FRANCE) SAS;IPG DXTRA (FRANCE) SAS;;Ipg France Holdings;
INTERCONSTRUCTION;INTERCONSTRUCTION;;;
VATTENFALL ENERGIES;VATTENFALL ENERGIES;;OVO Energy France;
ALTRNATIV.COM;ALTRNATIV.COM;Altrnativ;;
UNION NATIONAL INDUST BRICOL JARDIN ACTI;UNION NATIONAL des INDUSTriels  du BRICOLage de JARDIN ACTIf;;;
CHAMBRE DE COMMERCE ET D INDUSTRIE MONTAUBAN ET TARN-ET-GARONNE;CHAMBRE DE COMMERCE ET D INDUSTRIE MONTAUBAN ET TARN-ET-GARONNE;CCI Montauban et Tarn-et-Garonne;;
THE FRENCH PROPTECH;THE FRENCH PROPTECH;;;
ASSOCIATION FRANCAISE DE CHIROPRAXIE;ASSOCIATION FRANCAISE DE CHIROPRAXIE;AFC;;
SELARLU LESLIE RIVAL;SELARLU LESLIE RIVAL;;;
KEREIS HOLDING;KEREIS HOLDING;;;
UNION FRANÇAISE DE L'ÉLECTRICITÉ;UNION FRANÇAISE DE L'ÉLECTRICITÉ;UFE;;
LABORATOIRES THEA;LABORATOIRES THEA;;;
ASSOCIATION GROUPE ESSEC;ASSOCIATION GROUPE ESSEC;;;
AGENCE PROCHES;AGENCE PROCHES;;;
40 MILLIONS D' AUTOMOBILISTES;40 MILLIONS D' AUTOMOBILISTES;;;
CHAMBRE NATIONALE DES HUISSIERS DE JUSTICE;CHAMBRE NATIONALE DES HUISSIERS DE JUSTICE;CNHJ;;
UNION SYNDICALE DE LA PRODUCTION AUDIOVISUELLE;UNION SYNDICALE DE LA PRODUCTION AUDIOVISUELLE;USPA;;
SYNDICAT NATIONAL DES LABELS AVICOLES FRANÇAIS;SYNDICAT NATIONAL DES LABELS AVICOLES FRANÇAIS;SYNALAF;;
LEXTENSO;LEXTENSO;;;
L'UNION DES ENTREPRISES DE LA FILIERE DU SPORT DES LOISIRS DU CYCLE ET DE LA MOBILITE (L'UNION SPORT ET CYCLE);L'UNION DES ENTREPRISES DE LA FILIERE DU SPORT DES LOISIRS DU CYCLE ET DE LA MOBILITE (L'UNION SPORT ET CYCLE);;UNION Sport & Cycle;
FLAMANT BENOIT;FLAMANT BENOIT;;;
EDT BRETAGNE;EDT BRETAGNE;;;
NXTVALUE ADVISORY;NXTVALUE ADVISORY;;;
SANTECLAIR;SANTECLAIR;;;
RCCL AVOCAT;RCCL AVOCAT;;;
XXII GROUP;XXII GROUP;;;
ASSOCIATION DE MOYENS KLESIA;ASSOCIATION DE MOYENS KLESIA;;;
SYNDICAT DES ENTREPRISES DE GENIE ELECTRIQUE ET CLIMATIQUE;SYNDICAT DES ENTREPRISES DE GENIE ELECTRIQUE ET CLIMATIQUE;SERCE;;
FÉDÉRATION FRANÇAISE DU BÂTIMENT RÉGION AUVERGNE-RHÔNE-ALPES;FÉDÉRATION FRANÇAISE DU BÂTIMENT RÉGION AUVERGNE-RHÔNE-ALPES;FFB AURA;;
