nom_hatvp;nom_developpe;accronyme;variation;
FEDERATION DES EDITEURS D'INFORMATIQUE MEDICALE ET PARAMEDICALE AMBULATOIRE - (FEIMA);FEDERATION DES EDITEURS D'INFORMATIQUE MEDICALE ET PARAMEDICALE AMBULATOIRE - (FEIMA);FEIMA;;
CENTRE DEPARTEMENTAL DES JEUNES AGRICULTEURS DU TARN;CENTRE DEPARTEMENTAL DES JEUNES AGRICULTEURS DU TARN;CDJA DU TARN 81;;
CONSEIL NATIONAL DE L'ORDRE DES ARCHITECTES;CONSEIL NATIONAL DE L'ORDRE DES ARCHITECTES;;;
VERISURE;VERISURE;;;
WELFARM - PROTECTION MONDIALE DES ANIMAUX DE FERME;PROTECTION MONDIALE DES ANIMAUX DE FERME;WELFARM ;WELFARM ;
CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DU GARD;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DU GARD;CCI Gard;;
AXON ENTERPRISE INC.;AXON ENTERPRISE INC.;;Axon Enterprise;
SOCIETE DE PERCEPTION & DE DISTRIBUTION DES DROITS DES ARTISTES INTERPRETES;SOCIETE DE PERCEPTION & DE DISTRIBUTION DES DROITS DES ARTISTES INTERPRETES;SPEDIDAM;;
ORDRE GEOMETRE EXPERTS SYNDICAT;ORDRE GEOMETRE EXPERTS SYNDICAT;;;
FRANCE NATURE ENVIRONNEMENT NOUVELLE AQUITAINE (FNE NOUVELLE AQUITAINE);FRANCE NATURE ENVIRONNEMENT NOUVELLE AQUITAINE (FNE NOUVELLE AQUITAINE);;;
SOUTIEN AU COLLECTIF POUR UN RÉVEIL ÉCOLOGIQUE;SOUTIEN AU COLLECTIF POUR UN RÉVEIL ÉCOLOGIQUE;;;
SYNDICAT INDUSTRIE COMMERCE RECUPERATIOM;Syndicats Des Industries Et Commerces de Récupération Et Recyclage;;;
TOTALENERGIES SE;TOTALENERGIES SE;;;
SYNDICAT FRANCAIS DES COMPOSITRICES ET COMPOSITEURS DE MUSIQUE CONTEMPORAINE - SMC;SYNDICAT FRANCAIS DES COMPOSITRICES ET COMPOSITEURS DE MUSIQUE CONTEMPORAINE - SMC;SMC;;
UNION DES ENTREPRISES DE PROXIMITE DES ALPES MARITIMES;UNION DES ENTREPRISES DE PROXIMITE DES ALPES MARITIMES;U2P 06;;
FEDERATION DES INDUSTRIES NAUTIQUES;FEDERATION DES INDUSTRIES NAUTIQUES;FIN;;
RESES;Réseau Etudiant pour une Société Ecologique et Solidaire;RESES;;
CAF FRANCE;Caisse d'allocations familiales france ;CAF FRANCE;;
PISTRE STEPHANIE;PISTRE STEPHANIE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE;CCI HAUTS DE FRANCE;;
FEDERATION BATIMENT ET T.P. DU DOUBS;FEDERATION BATIMENT ET Travaux Publique DU DOUBS;;;
BUREAU VERITAS SERVICES FRANCE;BUREAU VERITAS SERVICES FRANCE;;;
RHEA CONSEIL;RHEA CONSEIL;;;
FINSBURY GLOVER HERING EUROPE GMBH;FINSBURY GLOVER HERING EUROPE GMBH;;Finsbury Glover Hering;
CENTRE DEPART JEUNES AGRICULTEURS;CENTRE DEPART JEUNES AGRICULTEURS;ja 41;;
FEDER DEPART SYNDICATS EXPLOI AGRICOLES;FEDER DEPART SYNDICATS EXPLOI AGRICOLES;;;
NATURE ENERGY FRANCE SAS;NATURE ENERGY FRANCE SAS;;;
ELENGY;ELENGY;;;
ALILA PROMOTION;ALILA PROMOTION;;ALILA;
VALOBAT;VALOBAT;;;
VIVENDI;VIVENDI;;;
2B CONSEIL;2B CONSEIL;;;
GRIFOLS FRANCE;GRIFOLS FRANCE;;;
F D S E A;Fédération nationale des syndicats d'exploitants agricoles;FDSEA;;
FEDERATION FRANCAISE BANQUES ALIMENTAIRE;FEDERATION FRANCAISE BANQUES ALIMENTAIRE;;;
KOTAI PROJECTS;KOTAI PROJECTS;;;
COMITE FRANCAIS POUR L'UNICEF;COMITE FRANCAIS POUR L'UNICEF;;;
FEDEREC EST;Fédération des entreprises du recyclage  EST;FEDEREC EST;;
CLUB DE L AMELIORATION DE L HABITAT;CLUB DE L AMELIORATION DE L HABITAT;CAH;;
CONSEIL NATIONAL DES ASSOCIATIONS FAMILIALES LAIQUES CNAFAL;CONSEIL NATIONAL DES ASSOCIATIONS FAMILIALES LAIQUES;CNAFAL;;
SYND TRANSP ROUTIERS LOIRE;SYNDicat des TRANSPorts ROUTIERS LOIRE;FNTR Loire;Syndicat des Transports de la Loire;
ECOLOGIC COMING OUT;ECOLOGIC COMING OUT;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DES DEUX SEVRES;CHAMBRE DE COMMERCE ET D'INDUSTRIE DES DEUX SEVRES;CCI DEUX SEVRES 79;CCI Deux-Sèvres;
LES AGENCES DE PAPA;LES AGENCES DE PAPA;;;
3M FRANCE;3M FRANCE;;3M;
LA COMPAGNIE DES NEGAWATTS;LA COMPAGNIE DES NEGAWATTS;;Association négaWatt;
MUTUALITE FRANCAISE CENTRE VAL DE LOIRE;MUTUALITE FRANCAISE CENTRE VAL DE LOIRE;VYV 3 Centre-Val de Loire;;
RAKUTEN FRANCE;RAKUTEN FRANCE;;RAKUTEN;
ASSOCIATION POUR UNE FONDATION SCIENCES CITOYENNES;ASSOCIATION POUR UNE FONDATION SCIENCES CITOYENNES;;Sciences Citoyennes;
LE MOUVEMENT ASSOCIATIF;LE MOUVEMENT ASSOCIATIF;;la Conférence permanente des coordinations associatives;
O'CLOCK;O'CLOCK;;;
ASS LES TRAITEURS DE FRANCE;ASSociation LES TRAITEURS DE FRANCE;;;
AGENCE KOMUN;AGENCE KOMUN;;;
AB CREATION - CONSEIL;AB CREATION - CONSEIL;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DU GERS;CHAMBRE DE COMMERCE ET D'INDUSTRIE DU GERS;CCI 32;CCI Gers;
TEVA SANTE;TEVA SANTE;;;
FEDERATION FRANCAISE DU BATIMENT DU GRAND PARIS;FEDERATION FRANCAISE DU BATIMENT DU GRAND PARIS;FFB GRAND PARIS;;
TBNO INVEST;TBNO INVEST;;;
SOC CENTRALE CANINE AMELIOR RACES CHIENS;SOCiété CENTRALE CANINE AMELIOR RACES CHIENS;;Société Centrale Canine;
INTERPROFESSION VOLAILLE DE CHAIR;INTERPROFESSION VOLAILLE DE CHAIR;ANVOL;;
CONFERENCE DES BATONNIERS DE FRANCE ET D'OUTRE MER;CONFERENCE DES BATONNIERS DE FRANCE ET D'OUTRE MER;;;
ASTRAZENECA;ASTRAZENECA;;;
IQVIA OPERATIONS FRANCE SAS;IQVIA OPERATIONS FRANCE SAS;;QVIA;
GROUPEMENT DES INDUSTRIES DE CONSTRUCTION ET ACTIVITES NAVALES;GROUPEMENT DES INDUSTRIES DE CONSTRUCTION ET ACTIVITES NAVALES;GICAN;;
ARES AUDIT;ARES - AUDIT REVISION EXPERTISE COMPTABLE;;;
"Pyrowave; Inc";"Pyrowave; Inc";;"Pyrowave; Inc";
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU GERS;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU GERS;FDSEA 32;;
FÉDÉRATION RÉGIONALE DES TRAVAUX PUBLICS DE BRETAGNE;FÉDÉRATION RÉGIONALE DES TRAVAUX PUBLICS DE BRETAGNE;FRTP BRETAGNE;;
Association Protéger l'enfant;Association Protéger l'enfant;;;
MALAKOFF HUMANIS PREVOYANCE;MALAKOFF HUMANIS PREVOYANCE;;;
ASSOCIATION UNIS-CITE;ASSOCIATION UNIS-CITE;;;
DOCAPOSTE;DOCAPOSTE;;;
FEDERATION FRANCAISE DE LA COOPERATION FRUITIERE LEGUMIERE ET HORTICOLE;FEDERATION FRANCAISE DE LA COOPERATION FRUITIERE LEGUMIERE ET HORTICOLE;FELCOOP;;
CEVA SANTE ANIMALE;CEVA SANTE ANIMALE;;;
FEDERATION FRANCAISE DES MAISONS EUROPE;FEDERATION FRANCAISE DES MAISONS l'EUROPE;FFME;;
CONFEDERATION DE L'ARTISANAT ET DES PETITES ENTREPRISES DU BATIMENT;CONFEDERATION DE L'ARTISANAT ET DES PETITES ENTREPRISES DU BATIMENT;CAPEB;;
FÉDÉRATION NATIONALE DES MÉDECINS RADIOLOGUES;FÉDÉRATION NATIONALE DES MÉDECINS RADIOLOGUES;FNMR;;
VOLVO CONSTRUCTION EQUIPMENT EUROPE SAS;VOLVO CONSTRUCTION EQUIPMENT EUROPE SAS;;;
EQUILIBRES ET POPULATIONS;EQUILIBRES ET POPULATIONS;;;
FEDERATION FRANCAISE DU BATIMENT DU TARN 81;FEDERATION FRANCAISE DU BATIMENT DU TARN 81;FFB DU TARN 81;;
FEDERATION DE L'HORLOGERIE;FEDERATION DE L'HORLOGERIE;FH;;
SYNDICAT MAT COMMERCE CEREALES GRAINES;SYNDICAT nATional COMMERCE CEREALES GRAINES;SYNACOMEX;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DE L'ALLIER;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DE L'ALLIER;CCI Allier;;
AUTODESK FRANCE;AUTODESK FRANCE;;;
LES MOUSQUETAIRES;LES MOUSQUETAIRES;;;
BLABLACAR;BLABLACAR;;;
SAS MARENGO;SAS MARENGO;;;
TOYOTA FRANCE;TOYOTA FRANCE;;;
FÉDÉRATION DÉPARTEMENTALE DU BÂTIMENT ET DES TRAVAUX PUBLICS DES ARDENNES;FÉDÉRATION DÉPARTEMENTALE DU BÂTIMENT ET DES TRAVAUX PUBLICS DES ARDENNES;FFB ARDENNES 08;;
LA MAISON DE L'ARTEMISIA;LA MAISON DE L'ARTEMISIA;;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE LA MEUSE;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE LA MEUSE;FFB MEUSE 55;;
NEXTEP;NEXTEP;;;
ASSO ZERO WASTE FRANCE;ASSOciation ZERO WASTE FRANCE;;"Zero Waste; Zéro Déchet";
EP FRANCE;EP FRANCE;;;
FEDERATION DES INDUSTRIES DES RESEAUX D INITIATIVE PUBLIQUE;FEDERATION DES INDUSTRIES DES RESEAUX D'INITIATIVE PUBLIQUE;;;
U2P PAC;U2P PAC;;;
MUTUALITE FRANCAISE BOURGOGNE FRANCHE COMTE;MUTUALITE FRANCAISE BOURGOGNE FRANCHE COMTE;;;
APRR;Autoroutes Paris-Rhin-Rhône;APRR;;
MUTUALITE FRANCAISE NORMANDIE;MUTUALITE FRANCAISE NORMANDIE;;;
APNM - MARINE;association professionnelle nationale Militaire pour la marine national;APNM - MARINE;;
FINANCIERE PROMO GERIM;FINANCIERE PROMO GERIM;;;
TALLANO TECHNOLOGIE;TALLANO TECHNOLOGIE;;;
CLUB  DES DIRECTEURS  DE SECURITE DE L ENTREPRISE;CLUB  DES DIRECTEURS  DE SECURITE DE L ENTREPRISE;CDSE;;
CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;CCI PARIS ILE-DE-FRANCE;;
ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;ARPP;;
FRESENIUS KABI FRANCE;FRESENIUS KABI FRANCE;;;
CHAMBRE REGIONALE DE METIERS ET DE L'ARTISANAT AUVERGNE-RHONE-ALPES;CHAMBRE REGIONALE DE METIERS ET DE L'ARTISANAT AUVERGNE-RHONE-ALPES;CRMA d'Auvergne-Rhône-Alpes;;
FEDERATION DE LA MODE CIRCULAIRE;FEDERATION DE LA MODE CIRCULAIRE;;;
BNP PARIBAS PERSONAL FINANCE;BNP PARIBAS PERSONAL FINANCE;;;
SOS ADDICTIONS;SOS ADDICTIONS;;;
FED NAT SOCIETES ANONYMES FONDATION HLM;Fédération nationale des sociétés anonymes et fondations d'HLM;FNSA HLM;;
SYND NAT INDUSTRIE ROCHE ORNEMENT CONSTR;Le Syndicat National des Industries de Roches Ornementales et de Construction;SNROC;;
MAISON DES LANCEURS D'ALERTE;MAISON DES LANCEURS D'ALERTE;MLA;;
SMART BUILDINGS ALLIANCE FOR SMART CITIES;SMART BUILDINGS ALLIANCE FOR SMART CITIES;;;
"PPTA FRANCE; ASSOCIATION DES ENTREPRISES DES PROTEINES PLASMATIQUES THERAPEUTIQUES";ASSOCIATION DES ENTREPRISES DES PROTEINES PLASMATIQUES THERAPEUTIQUES;"PPTA FRANCE;";;
ASSOCIATION DES PRODUCTEURS INDEPENDANTS;ASSOCIATION DES PRODUCTEURS INDEPENDANTS;API;;
VOLVO TRUCKS FRANCE;VOLVO TRUCKS FRANCE;;Volvo Trucks;
DB CARGO FRANCE;DB CARGO FRANCE;;"Euro Cargo Rail; Deutsche Bahn cargo";
GREENLOBBY CONSULTING;GREENLOBBY CONSULTING;;;
FEDERATION DEPARTEMENTALE SYNDICAT EXPLOITANTS AGRICOLES DE LA LORIE;FEDERATION DEPARTEMENTALE SYNDICAT EXPLOITANTS AGRICOLES DE LA LORIE;FDSEA LOIRE 42;;
AEMA GROUPE;AEMA GROUPE;;;
MUTUALITE FRANCAISE BRETAGNE;MUTUALITE FRANCAISE BRETAGNE;VYV3 Bretagne;;
JEUNES AGRICULTEURS DE L' HERAULT;JEUNES AGRICULTEURS DE L' HERAULT;JA HERAULT 34;;
ORGANISATION PRODUCTEURS THON CONGELE;ORGANISATION PRODUCTEURS THON CONGELE;ORTHONGEL;;
UGGC AVOCATS;UGGC AVOCATS;;;
BAYWA R.E. FRANCE;BAYWA R.E. FRANCE;;;
PTC THERAPEUTICS FRANCE;PTC THERAPEUTICS FRANCE;;;
TELEVISION FRANCAISE 1;TELEVISION FRANCAISE 1;TF1;;
WINDVISION FRANCE;WINDVISION FRANCE;;;
FAIVELEY TRANSPORT;FAIVELEY TRANSPORT;;;
GROUP NATION TRANSP COMBINES;GROUP NATION TRANSP COMBINES;GNTC;;
AGRICULTEURS DISTRIBUTEURS INDUSTRIELS POUR LA VALORISATION DES DECHETS AGRICOLES;AGRICULTEURS DISTRIBUTEURS INDUSTRIELS POUR LA VALORISATION DES DECHETS AGRICOLES;A.D.I.VALOR;;
FEDERATION NATIONALE DES ELEVEURS DE CHEVRES;FEDERATION NATIONALE DES ELEVEURS DE CHEVRES;FNEC;;
FROMAGERIES BEL;FROMAGERIES BEL;Bel;Bel Group;
SARP INDUSTRIES;SARP INDUSTRIES;;Sarpi Veolia;
JACQUES GERAULT CONSEIL;JACQUES GERAULT CONSEIL;;;
SCA HYGIENE PRODUCTS;SCA HYGIENE PRODUCTS;;;
LEROY MERLIN FRANCE;LEROY MERLIN FRANCE;;Leroy Merlin;
ORDRE ARCHITECTES CONSEIL REGION PAYS LO;ORDRE ARCHITECTES CONSEIL REGION PAYS LO;CROAPL;;
UNION DES ENTREPRISES DE PROXIMITE DE BRETAGNE;UNION DES ENTREPRISES DE PROXIMITE DE BRETAGNE;U2P BRETAGNE;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'INDRE 36;CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'INDRE 36;CMA INDRE 36;;
RED FLAG;RED FLAG;;;
MOUVEMENT DES ENTREPRISES DE FRANCE DE FRANCHE-COMTÉ;MOUVEMENT DES ENTREPRISES DE FRANCE DE FRANCHE-COMTÉ;Medef Franche-Comté;;
CHAMBRE COMMERCE INDUSTRIE DE LA DROME;CHAMBRE COMMERCE INDUSTRIE DE LA DROME;CCI DROME 26;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE CHARENTE-MARITIME;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE CHARENTE-MARITIME;CCI Charente-Maritime;;
ECOLOGIE LOGISTIQUE;ECOLOGIE LOGISTIQUE;;;
SATELEC;SATELEC;;;
FLINK;FLINK;;;
CNTVRS;CNTVRS;;Controverse;
FEDERATION NATIONALE DES METIERS DE LA JARDINERIE;FEDERATION NATIONALE DES METIERS DE LA JARDINERIE;FNMJ;;
LES CANALISATEURS;LES CANALISATEURS;;;
LES JEUNES AGRICULTEURS D'ARDECHE 07;LES JEUNES AGRICULTEURS D'ARDECHE 07;JA ARDECHE 07;;
SYNDICAT NATIONAL PILOTES DE LIGNES;SYNDICAT NATIONAL PILOTES DE LIGNES;SNPL;;
ASS REGION FNARS ILE DE FRANCE;ASSiation REGION FNARS ILE DE FRANCE;;;
VAE SOLIS COMMUNICATIONS;VAE SOLIS COMMUNICATIONS;;Vae Solis;
CCI NATES SAINT NAZAIRE 44;centre du commerce et de l'industrie;CCI NATES SAINT NAZAIRE 44;;
RENAULT SAS;RENAULT SAS;; ;
FÉDÉRATION RÉGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DES PAYS DE LA LOIRE;FÉDÉRATION RÉGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DES PAYS DE LA LOIRE;FRSEA PAYS DE LA LOIRE;;
SYNDICAT PROFESSIONNEL UNION DES PRESTATAIRES DE SANTE A DOMICILE INDEPENDANTS;SYNDICAT PROFESSIONNEL UNION DES PRESTATAIRES DE SANTE A DOMICILE INDEPENDANTS;UPSADI;;
FEDER FR SYNDIC PROFES PILOT87;FEDERation FRançaise SYNDICale  des PROFESsionnels PILOT 87;;;
EMMA GATEAU & ASSOCIES;EMMA GATEAU & ASSOCIES;;;
SYNDICAT PROFESSIONNEL DES ENTREPRISES LOCALES D ELECTRICITE (ELE);SYNDICAT PROFESSIONNEL DES ENTREPRISES LOCALES D ELECTRICITE;ELE;;
AARPI PUBLICA AVOCATS;AARPI PUBLICA AVOCATS;;Publica-Avocats;
UNION PROFESSIONNELLE ARTISANALE D'ILE-DE-FRANCE UPA IDF;UNION PROFESSIONNELLE ARTISANALE D'ILE-DE-FRANCE UPA IDF;upar idf;;
ABBVIE;ABBVIE;;;
BLUEBIRD BIO ( FR) SAS;BLUEBIRD BIO ( FR) SAS;;;
INCYTE BIOSCIENCES FRANCE;INCYTE BIOSCIENCES FRANCE;;;
CCI NICE COTE D'AZUR;CCI NICE COTE D'AZUR;CCI 06;;
SCALEWAY;SCALEWAY;;;
JCDECAUX FRANCE;JCDECAUX FRANCE;;;
FÉDÉRATION NATIONALE DES TRANSPORTS DE VOYAGEURS;FÉDÉRATION NATIONALE DES TRANSPORTS DE VOYAGEURS;FNTV;;
Groupement des Industriels et Professionnels de l’Aviation Générale;Groupement des Industriels et Professionnels de l’Aviation Générale;GIPAG;;
UNION FRANCAISE DU COMMERCE CHIMIQUE;UNION FRANCAISE DU COMMERCE CHIMIQUE;UFCC;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE L'OISE;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE L'OISE;FNSEA 60;;
JEUNESSE TV;JEUNESSE TV;;;
ANTHENOR PUBLIC AFFAIRS;ANTHENOR PUBLIC AFFAIRS;;;
FARECO;FARECO;;;
LIGHTHOUSE EUROPE;LIGHTHOUSE EUROPE;;;
SSS TRANS EUROPE TGV RHIN RHONE MEDITER.;SSS TRANS EUROPE TGV RHIN RHONE MEDITER.;;;
LOUIS DELHAIZE - COMPAGNIE FRANCO-BELGE D'ALIMENTATION;LOUIS DELHAIZE - COMPAGNIE FRANCO-BELGE D'ALIMENTATION;;;
TEREGA SAS;TEREGA SAS;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DE L'AUDE;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE DE L'AUDE;CCI Aude;;
FEDERATION FRANCAISE DU BATIMENT DU CANTAL;FEDERATION FRANCAISE DU BATIMENT DU CANTAL;FFB CANTAL 15;;
AGENCE NATIONALE DE GESTION DES DECHETS RADIOACTIFS;AGENCE NATIONALE DE GESTION DES DECHETS RADIOACTIFS;ANDRA;;
SYNDICAT NATIONAL DES COMPLEMENTS ALIMENTAIRES;SYNDICAT NATIONAL DES COMPLEMENTS ALIMENTAIRES;Synadiet;;
ASSOCIATION FRANCAISE INDEPENDANTE DE L ELECTRICITE ET DU GAZ;ASSOCIATION FRANCAISE INDEPENDANTE DE L ELECTRICITE ET DU GAZ;AFIEG;;
CHAMBRE COMMERCE ET INDUSTRIE NORD ISERE;CHAMBRE COMMERCE ET INDUSTRIE NORD ISERE;CCI NORD ISERE;;
NAVAL GROUP;NAVAL GROUP;;;
INITIATIVE MINDFULNESS FRANCE;INITIATIVE MINDFULNESS FRANCE;;;
FEDERATION NATIONALE DE L'INDUSTRIE LAITIERE;FEDERATION NATIONALE DE L'INDUSTRIE LAITIERE;FNIL;;
MOET HENNESSY;MOET HENNESSY;;;
DAILYMOTION;DAILYMOTION;;;
COM'EN BLEU;COM'EN BLEU;;;
RAZEL-BEC;RAZEL-BEC;;;
ASS VALENTIN HAUY SCE AVEUGLES MALVOYANTS;ASSociation VALENTIN HAUY SCE AVEUGLES MALVOYANTS;AVH;Association Valentin Haüy AVH;
ASSOCIATION POUR LE DEVELOPPEMENT BAS CARBONE;ASSOCIATION POUR LE DEVELOPPEMENT BAS CARBONE;;;
FEDERATION DES PROFESSIONNELS DE LA MICRO-MOBILITE;FEDERATION DES PROFESSIONNELS DE LA MICRO-MOBILITE;;;
YOUTH'S HORIZON;YOUTH'S HORIZON;;;
PARIS EUROPLACE;PARIS EUROPLACE;;;
MSD FRANCE;MSD FRANCE;;;
BNP PARIBAS;BNP PARIBAS;;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES;FDSEA 77;;
ATELIER RECHERCHE TRAITEMENT ET MEDIATION INTERCULTURELLE ET SOCIALE - ARTEMIS;ATELIER RECHERCHE TRAITEMENT ET MEDIATION INTERCULTURELLE ET SOCIALE ;ARTEMIS;;
FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU RHÔNE;FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU RHÔNE;FDSEA 69;;
ALLIANCE CARTON NATURE;ALLIANCE CARTON NATURE;;;
ALTAREA COGEDIM;ALTAREA COGEDIM;;"Cogedim ; Altarea";
CENTRE D’ETUDES DES DIRECTEURS D’ASSOCIATIONS PROFESSIONNELLES;CENTRE D’ETUDES DES DIRECTEURS D’ASSOCIATIONS PROFESSIONNELLES;CEDAP;;
CATENAE;CATENAE;;;
UNION PROFESSIONNELLE ARTISANT ILE DE FRANCE;UNION PROFESSIONNELLE ARTISANT ILE DE FRANCE;UPA IDF;;
CCI CHARENTE;CCI CHARENTE;CCI 16;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE LA VENDEE;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE LA VENDEE;FDSEA 85;;
SYNDICAT NATIONAL DES ENTREPRENEURS DE SPECTACLES;SYNDICAT NATIONAL DES ENTREPRENEURS DE SPECTACLES;;;
MTEV CONSULTING;MTEV CONSULTING;;;
UNION NATIONALE LYCEENNE - SYNDICALE & DEMOCRATIQUE;UNION NATIONALE LYCEENNE - SYNDICALE & DEMOCRATIQUE;;;
CHAMBRE FRANCAISE DE L'ECONOMIE SOCIALE ET SOLIDAIRE;CHAMBRE FRANCAISE DE L'ECONOMIE SOCIALE ET SOLIDAIRE;ESS FRANCE;;
COOPERATIVE U ENSEIGNE;COOPERATIVE U ENSEIGNE;;U Enseigne Coopérative;
COORDINATION RURALE - UNION NATIONALE;COORDINATION RURALE - UNION NATIONALE;;;
SYNPA LES INGREDIENTS ALIMENTAIRES DE SPECIALITE;SYNPA LES INGREDIENTS ALIMENTAIRES DE SPECIALITE;;Synpa;
VERMILION REP SAS;VERMILION REP SAS;;;
FORESTIERS PRIVES DE FRANCE;FORESTIERS PRIVES DE FRANCE;Fransylva;Fédération des Syndicats de Forestiers Privés de France;
HEETCH;HEETCH;;;
GOOGLE FRANCE;GOOGLE FRANCE;;;
SEANCE PUBLIQUE;SEANCE PUBLIQUE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA CORREZE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA CORREZE;CCI 19;;
FÉDÉRATION NATIONALE DE L'HÔTELLERIE DE PLEIN AIR;FÉDÉRATION NATIONALE DE L'HÔTELLERIE DE PLEIN AIR;FNHPA;;
ZIMMER BIOMET FRANCE;ZIMMER BIOMET FRANCE;;;
SEMERU;SEMERU;;;
SDDS;SDDS;;;
FEDERATION FRANCAISE DE LA TANNERIE MEGISSERIE;FEDERATION FRANCAISE DE LA TANNERIE MEGISSERIE;;;
COFEPAC COMITE FRANCAIS DE L'EMBALLAGE PAPIER CARTON;COMITE FRANCAIS DE L'EMBALLAGE PAPIER CARTON;COFEPAC;;
RESEAU ENTREPRENDRE;RESEAU ENTREPRENDRE;;;
FEDERATION FRANCAISE DES FIRMES PLURIDISCIPLINAIRES;FEDERATION FRANCAISE DES FIRMES PLURIDISCIPLINAIRES;F3P;;
SYND NATIONAL MONITEURS SKI;SYNDIcat NATIONAL MONITEURS SKI;;;
CONFEDERATION DE LA CONSOMMATION DU LOGEMENT ET DU CADRE DE VIE CLCV;CONFEDERATION DE LA CONSOMMATION DU LOGEMENT ET DU CADRE DE VIE CLCV;;;
CONSEIL NATIONAL DES APPELLATIONS D'ORIGINES LAITIERES;CONSEIL NATIONAL DES APPELLATIONS D'ORIGINES LAITIERES;;;
LA CONFEDERATION NATIONALE DES BURALISTES DE FRANCE;LA CONFEDERATION NATIONALE DES BURALISTES DE FRANCE;;;
UNION DES ENTREPRISES POUR LA PROTECTION DES JARDINS ET DES ESPACES PUBLICS;UNION DES ENTREPRISES POUR LA PROTECTION DES JARDINS ET DES ESPACES PUBLICS;UPJ;;
VERTEX PHARMACEUTICALS (FRANCE);VERTEX PHARMACEUTICALS (FRANCE);;;
VIRAGE-VIAGER;VIRAGE-VIAGER;;;
SYND NAT MAINTENANCE SERVICE APRES-VENTE;SYNDicat NATional MAINTENANCE SERVICE APRES-VENTE;Synasav;;
LABORATOIRES LEO;LABORATOIRES LEO;;;
SYNDICAT NATIONAL DES AGENTS DE RECHERCHES PRIVEES;SYNDICAT NATIONAL DES AGENTS DE RECHERCHES PRIVEES;SNARP;;
ENGIE;ENGIE;;;
LES JEUNES AGRICULTEURS DE L'INDRE 36;LES JEUNES AGRICULTEURS DE L'INDRE 36;JA INDRE 36;;
VALLOUREC;VALLOUREC;;;
SANOFI-AVENTIS FRANCE;SANOFI-AVENTIS FRANCE;;;
FEDERATION REGIONALE DES TRAVAUX PUBLICS DE CHAMPAGNE-ARDENNE;FEDERATION REGIONALE DES TRAVAUX PUBLICS DE CHAMPAGNE-ARDENNE;FRTP CHAMPAGNE-ARDENNE;;
MAX HAVELAAR FRANCE;MAX HAVELAAR FRANCE;;;
SYNDICAT DES ENTREPRISES DE SÛRETÉ AÉROPORTUAIRE;SYNDICAT DES ENTREPRISES DE SÛRETÉ AÉROPORTUAIRE;SESA;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'ESSONNE 91;CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'ESSONNE 91;CMA DE L'ESSONNE 91;;
MEL SDC;MEL SDC;;;
